age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,TARGET,ID
39,housemaid,married,basic.4y,0,0,1,telephone,may,mon,266,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,52
60,admin.,married,high.school,0,0,0,telephone,may,mon,253,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,53
53,admin.,single,professional.course,0,0,0,telephone,may,mon,179,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,54
55,blue-collar,married,basic.4y,,0,0,telephone,may,mon,269,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,55
55,technician,married,professional.course,,1,0,telephone,may,mon,135,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,56
50,management,married,university.degree,,0,1,telephone,may,mon,161,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,57
45,services,married,high.school,,1,0,telephone,may,mon,787,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,58
25,technician,single,university.degree,0,1,0,telephone,may,mon,174,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,60
47,entrepreneur,married,university.degree,,0,0,telephone,may,mon,449,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,61
51,blue-collar,married,basic.9y,0,1,0,telephone,may,mon,812,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,62
42,blue-collar,married,basic.6y,,1,0,telephone,may,mon,164,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,63
48,admin.,married,high.school,0,0,0,telephone,may,mon,357,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,65
37,admin.,married,university.degree,0,0,0,telephone,may,mon,232,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,66
44,blue-collar,single,basic.9y,0,1,0,telephone,may,mon,91,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,67
33,admin.,married,,0,1,0,telephone,may,mon,273,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,68
44,blue-collar,single,basic.4y,,1,1,telephone,may,mon,177,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,70
41,management,married,basic.6y,0,0,0,telephone,may,mon,200,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,71
47,admin.,married,university.degree,,1,0,telephone,may,mon,176,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,73
57,,married,,,0,0,telephone,may,mon,211,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,74
37,admin.,married,university.degree,,1,0,telephone,may,mon,214,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,75
41,blue-collar,divorced,basic.4y,,1,0,telephone,may,mon,1575,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,1,76
55,technician,married,university.degree,0,0,0,telephone,may,mon,349,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,77
33,services,married,high.school,,1,0,telephone,may,mon,337,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,78
55,management,married,,,1,0,telephone,may,mon,272,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,79
42,blue-collar,married,basic.9y,,0,0,telephone,may,mon,208,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,80
50,blue-collar,married,basic.4y,,1,0,telephone,may,mon,193,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,81
38,admin.,married,high.school,,0,0,telephone,may,mon,165,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,83
49,entrepreneur,married,university.degree,,1,0,telephone,may,mon,1042,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,1,84
38,technician,single,university.degree,0,0,1,telephone,may,mon,20,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,85
31,admin.,divorced,high.school,0,0,0,telephone,may,mon,246,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,86
49,technician,married,basic.9y,0,0,0,telephone,may,mon,1467,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,1,89
35,admin.,married,university.degree,0,1,0,telephone,may,mon,180,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,91
57,,married,,,1,0,telephone,may,mon,48,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,92
60,admin.,married,,,0,1,telephone,may,mon,213,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,93
33,unemployed,married,basic.9y,0,0,0,telephone,may,mon,545,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,94
42,blue-collar,married,basic.6y,0,0,1,telephone,may,mon,583,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,95
45,services,married,professional.course,0,1,0,telephone,may,mon,221,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,96
42,management,married,university.degree,0,0,0,telephone,may,mon,426,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,97
53,admin.,divorced,university.degree,,0,0,telephone,may,mon,287,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,98
37,technician,single,professional.course,0,0,0,telephone,may,mon,197,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,99
44,blue-collar,married,basic.6y,0,0,0,telephone,may,mon,257,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,100
54,services,married,,0,1,0,telephone,may,mon,229,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,101
49,blue-collar,married,basic.4y,0,0,0,telephone,may,mon,55,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,102
52,admin.,divorced,university.degree,0,0,0,telephone,may,mon,197,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,104
52,admin.,divorced,university.degree,0,0,0,telephone,may,mon,190,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,105
43,services,single,high.school,,0,0,telephone,may,mon,21,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,106
34,housemaid,married,basic.6y,0,1,0,telephone,may,mon,300,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,107
35,admin.,married,high.school,0,1,0,telephone,may,mon,123,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,108
42,entrepreneur,married,,,1,0,telephone,may,mon,293,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,109
43,technician,married,,,1,1,telephone,may,mon,325,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,110
58,unemployed,married,basic.4y,,0,0,telephone,may,mon,849,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,112
35,services,divorced,high.school,0,1,0,telephone,may,mon,194,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,113
37,management,married,university.degree,0,0,0,telephone,may,mon,337,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,115
57,blue-collar,divorced,,,1,0,telephone,may,mon,518,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,118
40,blue-collar,married,high.school,,1,0,telephone,may,mon,98,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,121
41,services,married,high.school,0,0,0,telephone,may,mon,139,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,123
45,technician,married,high.school,0,1,0,telephone,may,mon,79,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,124
32,admin.,married,university.degree,0,1,1,telephone,may,mon,175,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,125
50,admin.,married,basic.6y,0,0,0,telephone,may,mon,61,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,127
56,retired,married,basic.4y,0,1,0,telephone,may,mon,102,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,129
41,technician,married,professional.course,,1,0,telephone,may,mon,579,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,1,130
37,blue-collar,married,basic.6y,0,1,1,telephone,may,mon,143,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,131
41,technician,married,professional.course,,0,0,telephone,may,mon,677,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,132
35,blue-collar,married,,0,1,0,telephone,may,mon,267,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,133
37,blue-collar,married,basic.6y,0,1,0,telephone,may,mon,345,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,134
52,management,married,university.degree,0,0,0,telephone,may,mon,185,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,135
39,management,divorced,university.degree,0,0,0,telephone,may,mon,207,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,136
39,housemaid,married,basic.4y,,0,0,telephone,may,mon,69,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,137
56,blue-collar,married,basic.4y,,0,0,telephone,may,mon,100,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,138
34,services,married,high.school,0,1,0,telephone,may,mon,125,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,139
45,blue-collar,married,basic.9y,,1,0,telephone,may,mon,461,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,1,140
43,unemployed,single,university.degree,0,1,0,telephone,may,mon,240,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,141
56,management,married,,0,1,0,telephone,may,mon,70,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,142
39,management,married,university.degree,0,1,0,telephone,may,mon,193,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,143
53,blue-collar,married,basic.4y,0,1,0,telephone,may,mon,136,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,144
38,,divorced,high.school,,1,0,telephone,may,mon,73,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,145
42,blue-collar,married,basic.4y,,1,0,telephone,may,mon,528,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,146
42,blue-collar,married,basic.4y,,0,0,telephone,may,mon,541,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,147
35,admin.,single,high.school,0,1,0,telephone,may,mon,338,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,148
40,admin.,married,university.degree,,1,0,telephone,may,mon,163,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,149
51,blue-collar,married,basic.4y,0,1,0,telephone,may,mon,87,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,150
60,blue-collar,married,basic.9y,,0,0,telephone,may,mon,301,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,151
56,entrepreneur,married,,,1,0,telephone,may,mon,46,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,152
56,entrepreneur,married,,,0,0,telephone,may,mon,204,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,154
36,blue-collar,married,basic.9y,0,1,1,telephone,may,mon,98,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,156
51,blue-collar,married,,,1,0,telephone,may,mon,71,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,157
43,technician,single,professional.course,0,1,0,telephone,may,mon,186,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,159
59,services,married,high.school,0,0,0,telephone,may,mon,579,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,160
37,blue-collar,single,basic.9y,,1,1,telephone,may,mon,163,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,162
40,blue-collar,married,basic.9y,,0,0,telephone,may,mon,46,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,163
42,blue-collar,married,basic.9y,,0,0,telephone,may,mon,559,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,164
39,services,divorced,high.school,,0,0,telephone,may,mon,2033,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,165
38,services,married,high.school,0,1,1,telephone,may,mon,506,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,167
56,admin.,divorced,,,0,0,telephone,may,mon,114,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,168
40,blue-collar,married,,0,0,0,telephone,may,mon,114,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,169
54,management,divorced,university.degree,0,1,0,telephone,may,mon,843,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,170
36,services,married,high.school,,0,0,telephone,may,mon,427,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,172
45,technician,married,university.degree,0,1,1,telephone,may,mon,292,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,173
42,admin.,single,university.degree,,0,0,telephone,may,mon,192,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,174
43,services,married,high.school,0,0,0,telephone,may,mon,93,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,175
46,management,married,basic.9y,0,0,0,telephone,may,mon,128,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,176
44,services,married,high.school,0,1,1,telephone,may,mon,107,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,177
28,services,married,high.school,0,1,0,telephone,may,mon,81,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,179
37,blue-collar,married,basic.9y,0,0,0,telephone,may,mon,270,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,180
46,blue-collar,married,basic.6y,,1,0,telephone,may,mon,240,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,182
42,blue-collar,married,basic.9y,0,1,1,telephone,may,mon,673,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,1,183
36,admin.,married,university.degree,0,1,0,telephone,may,mon,233,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,184
54,blue-collar,married,basic.4y,,0,0,telephone,may,mon,102,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,185
57,management,married,university.degree,0,0,0,telephone,may,mon,461,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,186
51,technician,married,basic.6y,,0,0,telephone,may,mon,250,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,187
54,retired,married,high.school,,0,0,telephone,may,mon,130,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,188
49,blue-collar,married,basic.4y,,0,0,telephone,may,mon,252,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,189
34,admin.,married,university.degree,0,1,0,telephone,may,mon,138,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,190
41,technician,married,professional.course,0,0,0,telephone,may,mon,412,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,191
38,blue-collar,single,basic.9y,0,1,0,telephone,may,mon,179,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,192
45,management,divorced,university.degree,0,0,0,telephone,may,mon,19,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,193
34,blue-collar,single,basic.9y,,1,0,telephone,may,mon,55,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,195
48,blue-collar,married,basic.4y,0,1,0,telephone,may,mon,717,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,196
34,blue-collar,single,basic.9y,,0,0,telephone,may,mon,289,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,198
33,services,married,high.school,0,0,0,telephone,may,mon,146,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,201
32,services,single,basic.6y,0,0,0,telephone,may,mon,167,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,202
39,blue-collar,married,high.school,0,1,0,telephone,may,mon,356,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,203
43,admin.,married,,0,0,0,telephone,may,mon,277,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,204
35,student,single,university.degree,,0,0,telephone,may,mon,218,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,206
35,student,single,university.degree,,1,1,telephone,may,mon,217,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,207
35,unemployed,married,professional.course,0,0,0,telephone,may,mon,67,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,208
35,student,single,university.degree,,1,0,telephone,may,mon,248,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,210
36,student,single,basic.9y,0,1,0,telephone,may,mon,256,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,211
55,housemaid,divorced,university.degree,0,0,0,telephone,may,mon,286,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,212
59,admin.,married,university.degree,0,0,0,telephone,may,mon,477,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,213
57,retired,married,,,0,0,telephone,may,mon,611,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,214
39,housemaid,married,basic.4y,,1,0,telephone,may,mon,381,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,216
30,blue-collar,single,,0,1,1,telephone,may,mon,408,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,218
50,housemaid,married,basic.4y,,0,0,telephone,may,mon,287,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,219
35,admin.,married,high.school,0,1,0,telephone,may,mon,216,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,221
43,technician,married,,,0,0,telephone,may,mon,366,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,222
36,services,single,basic.6y,,1,0,telephone,may,mon,210,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,223
46,technician,married,basic.4y,,1,0,telephone,may,mon,288,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,224
40,technician,married,basic.9y,0,0,0,telephone,may,mon,168,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,225
58,retired,married,university.degree,0,0,0,telephone,may,mon,132,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,226
42,technician,married,university.degree,0,0,0,telephone,may,mon,64,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,227
35,admin.,single,university.degree,0,0,0,telephone,may,mon,209,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,228
43,retired,married,basic.4y,,0,0,telephone,may,mon,410,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,229
45,blue-collar,married,basic.4y,0,1,1,telephone,may,mon,177,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,230
39,admin.,married,professional.course,0,1,0,telephone,may,mon,580,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,231
50,services,divorced,professional.course,0,1,0,telephone,may,mon,165,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,232
32,management,divorced,basic.4y,,1,0,telephone,may,mon,127,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,233
39,admin.,married,high.school,,0,0,telephone,may,mon,357,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,234
52,self-employed,married,university.degree,,0,0,telephone,may,mon,175,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,235
44,admin.,married,professional.course,0,1,0,telephone,may,mon,300,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,236
56,blue-collar,married,basic.4y,0,0,0,telephone,may,mon,136,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,237
48,admin.,married,high.school,0,0,0,telephone,may,mon,125,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,238
33,services,married,high.school,,0,1,telephone,may,mon,189,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,239
36,technician,single,professional.course,0,0,0,telephone,may,mon,124,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,242
34,management,married,university.degree,0,1,0,telephone,may,mon,18,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,243
34,services,single,basic.9y,0,0,0,telephone,may,mon,730,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,244
30,technician,married,university.degree,,0,0,telephone,may,mon,40,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,245
33,services,divorced,,0,0,0,telephone,may,mon,181,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,246
32,technician,single,professional.course,0,0,0,telephone,may,mon,79,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,247
36,technician,single,high.school,0,1,0,telephone,may,mon,142,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,248
36,blue-collar,single,high.school,0,0,1,telephone,may,mon,389,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,249
33,services,single,high.school,0,0,0,telephone,may,mon,702,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,250
40,technician,divorced,professional.course,0,0,0,telephone,may,mon,151,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,251
51,services,married,basic.6y,0,1,0,telephone,may,mon,117,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,253
36,technician,married,professional.course,0,1,0,telephone,may,mon,232,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,254
28,services,married,,0,0,0,telephone,may,mon,408,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,255
53,services,married,high.school,0,1,1,telephone,may,mon,370,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,256
58,blue-collar,married,basic.9y,,1,0,telephone,may,mon,179,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,257
33,admin.,married,high.school,0,0,1,telephone,may,mon,181,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,261
27,blue-collar,single,basic.6y,0,,,telephone,may,mon,119,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,262
42,technician,married,high.school,0,0,0,telephone,may,mon,361,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,263
43,admin.,divorced,basic.9y,0,0,0,telephone,may,mon,73,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0,264
